HCPCS,MOD,DESCRIPTION,CODE
0230T,,Njx tfrml eprl w/us lumb/sac,C
0231T,,Njx tfrml eprl w/us lumb/sac,C
0232T,,Njx platelet plasma,C
0233T,,Skin glycation spectroscopy,C
0234T,,Trluml perip athrc renal art,C
0235T,,Trluml perip athrc visceral,C
0236T,,Trluml perip athrc abd aorta,C
0237T,,Trluml perip athrc brchiocph,C
0238T,,Trluml perip athrc iliac art,C
0239T,,Bioimpedance spectroscopy,C
0240T,,Esoph motility 3d topography,C
0240T,TC,Esoph motility 3d topography,C
0240T,26,Esoph motility 3d topography,C
0241T,,Esoph motility w/stim/perf,C
0241T,TC,Esoph motility w/stim/perf,C
0241T,26,Esoph motility w/stim/perf,C
0242T,,Gi tract transit & pres meas,C
0242T,TC,Gi tract transit & pres meas,C
0242T,26,Gi tract transit & pres meas,C
0243T,,Intm msr bronchodil wheeze,C
0243T,TC,Intm msr bronchodil wheeze,C
0243T,26,Intm msr bronchodil wheeze,C
0244T,,Cont msr bronchodil wheeze,C
0244T,TC,Cont msr bronchodil wheeze,C
0244T,26,Cont msr bronchodil wheeze,C
0245T,,Open tx rib fx 1-2 ribs,C
0246T,,Opn tx rib fx 3-4 ribs,C
0247T,,Opn tx rib fx 5-6 ribs,C
0248T,,Open tx rib fx 7/> ribs,C
0249T,,Ligation hemorrhoid w/us,C
0250T,,Insert bronchial valve,C
0251T,,Remov bronchial valve,C
0252T,,Remov bronch valve addl,C
0253T,,Insert aqueous drain device,C
0254T,,Evasc rpr iliac art bifur,C
0255T,,Evasc rpr iliac art bifr s&i,C
0255T,TC,Evasc rpr iliac art bifr s&i,C
0255T,26,Evasc rpr iliac art bifr s&i,C
0256T,,Evasc aortic hrt valve,C
0257T,,Opn tthrc aortic hrt valve,C
0258T,,Aortic hrt valv w/o card byp,C
0259T,,Aortic hrt valve w/card byp,C
0260T,,Hypthrm bdy neonate 28d/<,C
0261T,,Hypthrm head neonate 28d/<,C
0262T,,Impltj pulm vlv evasc appr,C
0263T,,Im B1 mrw cel ther cmpl,C
0264T,,Im B1 mrw cel ther xcl hrvst,C
0265T,,Im B1 mrw cel ther hrvst onl,C
0266T,,Implt/rpl crtd sns dev total,C
0267T,,Implt/rpl crtd sns dev lead,C
0268T,,Implt/rpl crtd sns dev gen,C
0269T,,Rev/remvl crtd sns dev total,C
0270T,,Rev/remvl crtd sns dev lead,C
0271T,,Rev/remvl crtd sns dev gen,C
0272T,,Interrogate crtd sns dev,C
0273T,,Interrogate crtd sns w/pgrmg,C
0274T,,Perq lamot/lam crv/thrc,C
0275T,,Perq lamot/lam lumbar,C
0276T,,Bronch thermoplasty 1 lobe,C
0277T,,Bronch thermoplasty lobes,C
0278T,,Tempr,C
0279T,,Ctc test,C
0280T,,Ctc test w/i & r,C
0281T,,Laa closure w/implant,C
0282T,,Periph field stimul trial,C
0283T,,Periph field stimul perm,C
0284T,,Periph field stimul revise,C
0285T,,Periph field stimul analys,C
0286T,,Near ifr spectrsc of wounds,C
0287T,,Near ifr guide of vasc site,C
0288T,,Anoscopy w/rf delivery,C
0289T,,Laser inc for pkp/lkp donor,C
0290T,,Laser inc for pkp/lkp recip,C
0291T,,Iv oct for proc init vessel,C
0292T,,Iv oct for proc addl vessel,C
0293T,,Ins lt atrl press monitor,C
0294T,,Ins lt atrl press mont addon,C
0295T,,Ext ecg complete,C
0296T,,Ext ecg recording,C
0297T,,Ext ecg scan w/report,C
0298T,,Ext ecg review and interp,C
0299T,,Esw wound healing init wound,C
0300T,,Esw wound healing addl wound,C
0301T,,Mw therapy for breast tumor,C
0302T,,Icar ischm mntrng sys compl,C
0303T,,Icar ischm mntrng sys eltrd,C
0304T,,Icar ischm mntrng sys device,C
0305T,,Icar ischm mntrng prgrm eval,C
0306T,,Icar ischm mntrng interr eva,C
0307T,,Rmvl icar ischm mntrng dvce,C
0308T,,Insj ocular telescope prosth,C
0500F,,Initial prenatal care visit,M
0501F,,Prenatal flow sheet,I
0502F,,Subsequent prenatal care,I
0503F,,Postpartum care visit,I
0505F,,Hemodialysis plan docd,I
0507F,,Periton dialysis plan docd,I
0509F,,Urine incon plan docd,M
0513F,,Elev bp plan of care docd,M
0514F,,Care plan hgb docd esa pt,I
0516F,,Anemia plan of care docd,I
0517F,,Glaucoma plan of care docd,M
0518F,,Fall plan of care docd,M
0519F,,Pland chemo docd b/4 txmnt,I
0520F,,Rad dos limts b/4 3d rad,M
0521F,,Plan of care 4 pain docd,M
0525F,,Initial visit for episode,I
0526F,,Subs visit for episode,M
0528F,,Rcmnd flw-up 10 yrs docd,I
0529F,,Intrvl 3+yrs pts clnscp docd,M
0535F,,Dyspnea mngmnt plan docd,I
0540F,,Gluco mngmnt plan docd,M
0545F,,Follow up care plan mdd docd,I
0550F,,Cytopath report nongyn spcmn,I
0551F,,Cytopath report non routine,I
0555F,,Symptom mgmnt plan care docd,I
0556F,,Plan care lipid control docd,M
0557F,,Plan caremng angnl symptdocd,M
0575F,,HIV rna plan care docd,M
1000F,,Tobacco use assessed,I
1002F,,Assess anginal symptom/level,I
10021,,Fna w/o image,A
10022,,Fna w/image,A
1003F,,Level of activity assess,I
1004F,,Clin symp vol ovrld assess,I
10040,,Acne surgery,A
1005F,,Asthma symptoms evaluate,I
1006F,,Osteoarthritis assess,M
10060,,Drainage of skin abscess,A
10061,,Drainage of skin abscess,A
1007F,,Anti-inflm/anlgsc otc assess,M
1008F,,Gi/renal risk assess,I
10080,,Drainage of pilonidal cyst,A
10081,,Drainage of pilonidal cyst,A
1010F,,Severity angina by actvty,M
1011F,,Angina present,M
1012F,,Angina absent,M
10120,,Remove foreign body,A
10121,,Remove foreign body,A
10140,,Drainage of hematoma/fluid,A
1015F,,Copd symptoms assess,I
10160,,Puncture drainage of lesion,A
1018F,,Assess dyspnea not present,I
10180,,Complex drainage wound,A
1019F,,Assess dyspnea present,I
1022F,,Pneumo imm status assess,I
1026F,,Co-morbid condition assess,I
1030F,,Influenza imm status assess,I
1031F,,Smoking & 2nd hand assessed,M
1032F,,Smoker/exposed 2nd hnd smoke,M
1033F,,Tobacco nonsmoker nor 2ndhnd,M
1034F,,Current tobacco smoker,I
1035F,,Smokeless tobacco user,I
1036F,,Tobacco non-user,M
1038F,,Persistent asthma,M
1039F,,Intermittent asthma,M
1040F,,Dsm-iv info mdd docd,M
1050F,,History of mole changes,I
1052F,,Type location activity asses,M
1055F,,Visual funct status assess,I
1060F,,Doc perm/cont/parox atr fib,I
1061F,,Doc lack perm+cont+parox fib,I
1065F,,Ischm stroke symp lt3 hrsb/4,I
1066F,,Ischm stroke symp ge3 hrsb/4,I
1070F,,Alarm symp assessed-absent,I
1071F,,Alarm symp assessed-1+ prsnt,I
1090F,,Pres/absn urine incon assess,M
1091F,,Urine incon characterized,M
1100F,,Ptfalls assess-docd ge2+/yr,M
11000,,Debride infected skin,A
11001,,Debride infected skin add-on,A
11004,,Debride genitalia & perineum,A
11005,,Debride abdom wall,A
11006,,Debride genit/per/abdom wall,A
11008,,Remove mesh from abd wall,A
1101F,,Pt falls assess-docd le1/yr,M
11010,,Debride skin at fx site,A
11011,,Debride skin musc at fx site,A
11012,,Deb skin bone at fx site,A
11042,,Deb subq tissue 20 sq cm/<,A
11043,,Deb musc/fascia 20 sq cm/<,A
11044,,Deb bone 20 sq cm/<,A
11045,,Deb subq tissue add-on,A
11046,,Deb musc/fascia add-on,A
11047,,Deb bone add-on,A
11055,,Trim skin lesion,R
11056,,Trim skin lesions 2 to 4,R
11057,,Trim skin lesions over 4,R
1110F,,Pt lft inpt fac w/in 60 days,M
11100,,Biopsy skin lesion,A
11101,,Biopsy skin add-on,A
1111F,,Dschrg med/current med merge,M
1116F,,Auric/peri pain assessed,M
1118F,,GERD symps assessed 12 month,I
1119F,,Init eval for condition,M
11200,,Removal of skin tags,A
11201,,Remove skin tags add-on,A
1121F,,Subs eval for condition,M
1123F,,Acp discuss/dscn mkr docd,M
1124F,,Acp discuss-no dscnmkr docd,M
1125F,,Amnt pain noted pain prsnt,M
1126F,,Amnt pain noted none prsnt,M
1127F,,New episode for condition,I
1128F,,Subs episode for condition,I
1130F,,Bk pain + fxn assessed,M
11300,,Shave skin lesion,A
11301,,Shave skin lesion,A
11302,,Shave skin lesion,A
11303,,Shave skin lesion,A
11305,,Shave skin lesion,A
11306,,Shave skin lesion,A
11307,,Shave skin lesion,A
11308,,Shave skin lesion,A
11310,,Shave skin lesion,A
11311,,Shave skin lesion,A
11312,,Shave skin lesion,A
11313,,Shave skin lesion,A
1134F,,Epsd bk pain for =< 6 wks,I
1135F,,Epsd bk pain for > 6 wks,I
1136F,,Epsd bk pain for <= 12 wks,I
1137F,,Epsd bk pain for > 12 wks,I
11400,,Exc tr-ext b9+marg 0.5 < cm,A
11401,,Exc tr-ext b9+marg 0.6-1 cm,A
11402,,Exc tr-ext b9+marg 1.1-2 cm,A
11403,,Exc tr-ext b9+marg 2.1-3 cm,A
11404,,Exc tr-ext b9+marg 3.1-4 cm,A
11406,,Exc tr-ext b9+marg > 4.0 cm,A
11420,,Exc h-f-nk-sp b9+marg 0.5 <,A
11421,,Exc h-f-nk-sp b9+marg 0.6-1,A
11422,,Exc h-f-nk-sp b9+marg 1.1-2,A
11423,,Exc h-f-nk-sp b9+marg 2.1-3,A
11424,,Exc h-f-nk-sp b9+marg 3.1-4,A
11426,,Exc h-f-nk-sp b9+marg > 4 cm,A
11440,,Exc face-mm b9+marg 0.5 < cm,A
11441,,Exc face-mm b9+marg 0.6-1 cm,A
11442,,Exc face-mm b9+marg 1.1-2 cm,A
11443,,Exc face-mm b9+marg 2.1-3 cm,A
11444,,Exc face-mm b9+marg 3.1-4 cm,A
11446,,Exc face-mm b9+marg > 4 cm,A
11450,,Removal sweat gland lesion,A
11451,,Removal sweat gland lesion,A
11462,,Removal sweat gland lesion,A
11463,,Removal sweat gland lesion,A
11470,,Removal sweat gland lesion,A
11471,,Removal sweat gland lesion,A
1150F,,Doc pt rsk death w/in 1yr,I
1151F,,Doc no pt rsk death w/in 1yr,I
1152F,,Doc advncd dis comfort 1st,I
1153F,,Doc advncd dis cmfrt not 1st,I
1157F,,Advnc care plan in rcrd,I
1158F,,Advnc care plan tlk docd,I
1159F,,Med list docd in rcrd,I
1160F,,Rvw meds by rx/dr in rcrd,I
11600,,Exc tr-ext mal+marg 0.5 < cm,A
11601,,Exc tr-ext mal+marg 0.6-1 cm,A
11602,,Exc tr-ext mal+marg 1.1-2 cm,A
11603,,Exc tr-ext mal+marg 2.1-3 cm,A
11604,,Exc tr-ext mal+marg 3.1-4 cm,A
11606,,Exc tr-ext mal+marg > 4 cm,A
11620,,Exc h-f-nk-sp mal+marg 0.5 <,A
11621,,Exc s/n/h/f/g mal+mrg 0.6-1,A
11622,,Exc s/n/h/f/g mal+mrg 1.1-2,A
11623,,Exc s/n/h/f/g mal+mrg 2.1-3,A
11624,,Exc s/n/h/f/g mal+mrg 3.1-4,A
11626,,Exc s/n/h/f/g mal+mrg > 4 cm,A
11640,,Exc f/e/e/n/l mal+mrg 0.5cm<,A
11641,,Exc f/e/e/n/l mal+mrg 0.6-1,A
11642,,Exc f/e/e/n/l mal+mrg 1.1-2,A
11643,,Exc f/e/e/n/l mal+mrg 2.1-3,A
11644,,Exc f/e/e/n/l mal+mrg 3.1-4,A
11646,,Exc f/e/e/n/l mal+mrg > 4 cm,A
1170F,,Fxnl status assessed,M
11719,,Trim nail(s),R
11720,,Debride nail 1-5,A
11721,,Debride nail 6 or more,A
11730,,Removal of nail plate,A
11732,,Remove nail plate add-on,A
11740,,Drain blood from under nail,A
1175F,,Function stat assessed rvwd,M
11750,,Removal of nail bed,A
11752,,Remove nail bed/finger tip,A
11755,,Biopsy nail unit,A
11760,,Repair of nail bed,A
11762,,Reconstruction of nail bed,A
11765,,Excision of nail fold toe,A
11770,,Removal of pilonidal lesion,A
11771,,Removal of pilonidal lesion,A
11772,,Removal of pilonidal lesion,A
1180F,,Thromboemb risk assessed,I
1181F,,Neuropsychia sympts assessed,M
1182F,,Neuropsychi sympt 1+present,I
1183F,,Neuropsychiatric symp absent,I
11900,,Injection into skin lesions,A
11901,,Added skin lesions injection,A
11920,,Correct skin color defects,R
11921,,Correct skin color defects,R
11922,,Correct skin color defects,R
11950,,Therapy for contour defects,R
11951,,Therapy for contour defects,R
11952,,Therapy for contour defects,R
11954,,Therapy for contour defects,R
11960,,Insert tissue expander(s),A
11970,,Replace tissue expander,A
11971,,Remove tissue expander(s),A
11976,,Removal of contraceptive cap,R
11980,,Implant hormone pellet(s),A
11981,,Insert drug implant device,A
11982,,Remove drug implant device,A
11983,,Remove/insert drug implant,A
1200F,,Seizure type& frequ docd,M
12001,,Repair superficial wound(s),A
12002,,Repair superficial wound(s),A
12004,,Repair superficial wound(s),A
12005,,Repair superficial wound(s),A
12006,,Repair superficial wound(s),A
12007,,Repair superficial wound(s),A
12011,,Repair superficial wound(s),A
12013,,Repair superficial wound(s),A
12014,,Repair superficial wound(s),A
12015,,Repair superficial wound(s),A
12016,,Repair superficial wound(s),A
12017,,Repair superficial wound(s),A
12018,,Repair superficial wound(s),A
12020,,Closure of split wound,A
12021,,Closure of split wound,A
12031,,Intmd wnd repair s/a/t/ext,A
12032,,Intmd wnd repair s/a/t/ext,A
12034,,Intmd wnd repair s/tr/ext,A
12035,,Intmd wnd repair s/a/t/ext,A
12036,,Intmd wnd repair s/a/t/ext,A
12037,,Intmd wnd repair s/tr/ext,A
12041,,Intmd wnd repair n-hf/genit,A
12042,,Intmd wnd repair n-hf/genit,A
12044,,Intmd wnd repair n-hf/genit,A
12045,,Intmd wnd repair n-hf/genit,A
12046,,Intmd wnd repair n-hf/genit,A
12047,,Intmd wnd repair n-hf/genit,A
1205F,,EPI etiol synd rvwd and docd,M
12051,,Intmd wnd repair face/mm,A
12052,,Intmd wnd repair face/mm,A
12053,,Intmd wnd repair face/mm,A
12054,,Intmd wnd repair face/mm,A
12055,,Intmd wnd repair face/mm,A
12056,,Intmd wnd repair face/mm,A
12057,,Intmd wnd repair face/mm,A
1220F,,Pt screened for depression,M
13100,,Repair of wound or lesion,A
13101,,Repair of wound or lesion,A
13102,,Repair wound/lesion add-on,A
13120,,Repair of wound or lesion,A
13121,,Repair of wound or lesion,A
13122,,Repair wound/lesion add-on,A
13131,,Repair of wound or lesion,A
13132,,Repair of wound or lesion,A
13133,,Repair wound/lesion add-on,A
13150,,Repair of wound or lesion,A
13151,,Repair of wound or lesion,A
13152,,Repair of wound or lesion,A
13153,,Repair wound/lesion add-on,A
13160,,Late closure of wound,A
1400F,,Prkns diag rviewed,M
14000,,Skin tissue rearrangement,A
14001,,Skin tissue rearrangement,A
14020,,Skin tissue rearrangement,A
14021,,Skin tissue rearrangement,A
14040,,Skin tissue rearrangement,A
14041,,Skin tissue rearrangement,A
14060,,Skin tissue rearrangement,A
14061,,Skin tissue rearrangement,A
14301,,Skin tissue rearrangement,A
14302,,Skin tissue rearrange add-on,A
14350,,Skin tissue rearrangement,A
1450F,,Symptoms improved/consist,I
1451F,,Sympt show clin import drop,I
1460F,,Qual card diag prior 12 mons,M
1461F,,No qual card diag prior12mon,M
1490F,,Dem severity classified mild,M
1491F,,Dem severity classified mod,M
1493F,,Dem severity class severe,M
1494F,,Cognit assessed and reviewed,M
15002,,Wound prep trk/arm/leg,A
15003,,Wound prep addl 100 cm,A
15004,,Wound prep f/n/hf/g,A
15005,,Wnd prep f/n/hf/g addl cm,A
15040,,Harvest cultured skin graft,A
15050,,Skin pinch graft,A
15100,,Skin splt grft trnk/arm/leg,A
15101,,Skin splt grft t/a/l add-on,A
15110,,Epidrm autogrft trnk/arm/leg,A
15111,,Epidrm autogrft t/a/l add-on,A
15115,,Epidrm a-grft face/nck/hf/g,A
15116,,Epidrm a-grft f/n/hf/g addl,A
15120,,Skn splt a-grft fac/nck/hf/g,A
15121,,Skn splt a-grft f/n/hf/g add,A
15130,,Derm autograft trnk/arm/leg,A
15131,,Derm autograft t/a/l add-on,A
15135,,Derm autograft face/nck/hf/g,A
15136,,Derm autograft f/n/hf/g add,A
15150,,Cult skin grft t/arm/leg,A
15151,,Cult skin grft t/a/l addl,A
15152,,Cult skin graft t/a/l +%,A
15155,,Cult skin graft f/n/hf/g,A
15156,,Cult skin grft f/n/hfg add,A
15157,,Cult epiderm grft f/n/hfg +%,A
15200,,Skin full graft trunk,A
15201,,Skin full graft trunk add-on,A
15220,,Skin full graft sclp/arm/leg,A
15221,,Skin full graft add-on,A
15240,,Skin full grft face/genit/hf,A
15241,,Skin full graft add-on,A
15260,,Skin full graft een & lips,A
15261,,Skin full graft add-on,A
15271,,Skin sub graft trnk/arm/leg,A
15272,,Skin sub graft t/a/l add-on,A
15273,,Skin sub grft t/arm/lg child,A
15274,,Skn sub grft t/a/l child add,A
15275,,Skin sub graft face/nk/hf/g,A
15276,,Skin sub graft f/n/hf/g addl,A
15277,,Skn sub grft f/n/hf/g child,A
15278,,Skn sub grft f/n/hf/g ch add,A
15570,,Form skin pedicle flap,A
15572,,Form skin pedicle flap,A
15574,,Form skin pedicle flap,A
15576,,Form skin pedicle flap,A
15600,,Skin graft,A
15610,,Skin graft,A
15620,,Skin graft,A
15630,,Skin graft,A
15650,,Transfer skin pedicle flap,A
15731,,Forehead flap w/vasc pedicle,A
15732,,Muscle-skin graft head/neck,A
15734,,Muscle-skin graft trunk,A
15736,,Muscle-skin graft arm,A
15738,,Muscle-skin graft leg,A
15740,,Island pedicle flap graft,A
15750,,Neurovascular pedicle graft,A
15756,,Free myo/skin flap microvasc,A
15757,,Free skin flap microvasc,A
15758,,Free fascial flap microvasc,A
15760,,Composite skin graft,A
15770,,Derma-fat-fascia graft,A
15775,,Hair transplant punch grafts,R
15776,,Hair transplant punch grafts,R
15777,,Acellular derm matrix implt,A
15780,,Abrasion treatment of skin,A
15781,,Abrasion treatment of skin,A
15782,,Abrasion treatment of skin,A
15783,,Abrasion treatment of skin,A
15786,,Abrasion lesion single,A
15787,,Abrasion lesions add-on,A
15788,,Chemical peel face epiderm,R
15789,,Chemical peel face dermal,R
15792,,Chemical peel nonfacial,R
15793,,Chemical peel nonfacial,A
15819,,Plastic surgery neck,A
15820,,Revision of lower eyelid,A
15821,,Revision of lower eyelid,A
15822,,Revision of upper eyelid,A
15823,,Revision of upper eyelid,A
15824,,Removal of forehead wrinkles,R
15825,,Removal of neck wrinkles,R
15826,,Removal of brow wrinkles,R
15828,,Removal of face wrinkles,R
15829,,Removal of skin wrinkles,R
15830,,Exc skin abd,R
15832,,Excise excessive skin tissue,A
15833,,Excise excessive skin tissue,A
15834,,Excise excessive skin tissue,A
15835,,Excise excessive skin tissue,A
15836,,Excise excessive skin tissue,A
15837,,Excise excessive skin tissue,A
15838,,Excise excessive skin tissue,A
15839,,Excise excessive skin tissue,A
15840,,Graft for face nerve palsy,A
15841,,Graft for face nerve palsy,A
15842,,Flap for face nerve palsy,A
15845,,Skin and muscle repair face,A
15847,,Exc skin abd add-on,C
15850,,Removal of sutures,B
15851,,Removal of sutures,A
15852,,Dressing change not for burn,A
15860,,Test for blood flow in graft,A
15876,,Suction assisted lipectomy,R
15877,,Suction assisted lipectomy,R
15878,,Suction assisted lipectomy,R
15879,,Suction assisted lipectomy,R
15920,,Removal of tail bone ulcer,A
15922,,Removal of tail bone ulcer,A
15931,,Remove sacrum pressure sore,A
15933,,Remove sacrum pressure sore,A
15934,,Remove sacrum pressure sore,A
15935,,Remove sacrum pressure sore,A
15936,,Remove sacrum pressure sore,A
15937,,Remove sacrum pressure sore,A
15940,,Remove hip pressure sore,A
15941,,Remove hip pressure sore,A
15944,,Remove hip pressure sore,A
15945,,Remove hip pressure sore,A
15946,,Remove hip pressure sore,A
15950,,Remove thigh pressure sore,A
15951,,Remove thigh pressure sore,A
15952,,Remove thigh pressure sore,A
15953,,Remove thigh pressure sore,A
15956,,Remove thigh pressure sore,A
15958,,Remove thigh pressure sore,A
15999,,Removal of pressure sore,C
16000,,Initial treatment of burn(s),A
16020,,Dress/debrid p-thick burn s,A
16025,,Dress/debrid p-thick burn m,A
16030,,Dress/debrid p-thick burn l,A
16035,,Incision of burn scab initi,A
16036,,Escharotomy addl incision,A
17000,,Destruct premalg lesion,A
17003,,Destruct premalg les 2-14,A
17004,,Destroy premal lesions 15/>,A
17106,,Destruction of skin lesions,A
17107,,Destruction of skin lesions,A
17108,,Destruction of skin lesions,A
17110,,Destruct b9 lesion 1-14,A
17111,,Destruct lesion 15 or more,A
17250,,Chemical cautery tissue,A
17260,,Destruction of skin lesions,A
17261,,Destruction of skin lesions,A
17262,,Destruction of skin lesions,A
17263,,Destruction of skin lesions,A
17264,,Destruction of skin lesions,A
17266,,Destruction of skin lesions,A
17270,,Destruction of skin lesions,A
17271,,Destruction of skin lesions,A
17272,,Destruction of skin lesions,A
17273,,Destruction of skin lesions,A
17274,,Destruction of skin lesions,A
17276,,Destruction of skin lesions,A
17280,,Destruction of skin lesions,A
17281,,Destruction of skin lesions,A
17282,,Destruction of skin lesions,A
17283,,Destruction of skin lesions,A
17284,,Destruction of skin lesions,A
17286,,Destruction of skin lesions,A
17311,,Mohs 1 stage h/n/hf/g,A
17312,,Mohs addl stage,A
17313,,Mohs 1 stage t/a/l,A
17314,,Mohs addl stage t/a/l,A
17315,,Mohs surg addl block,A
17340,,Cryotherapy of skin,A
17360,,Skin peel therapy,A
17380,,Hair removal by electrolysis,R
17999,,Skin tissue procedure,C
19000,,Drainage of breast lesion,A
19001,,Drain breast lesion add-on,A
19020,,Incision of breast lesion,A
19030,,Injection for breast x-ray,A
19100,,Bx breast percut w/o image,A
19101,,Biopsy of breast open,A
19102,,Bx breast percut w/image,A
19103,,Bx breast percut w/device,A
19105,,Cryosurg ablate fa each,A
19110,,Nipple exploration,A
19112,,Excise breast duct fistula,A
19120,,Removal of breast lesion,A
19125,,Excision breast lesion,A
19126,,Excision addl breast lesion,A
19260,,Removal of chest wall lesion,A
19271,,Revision of chest wall,A
19272,,Extensive chest wall surgery,A
19290,,Place needle wire breast,A
19291,,Place needle wire breast,A
19295,,Place breast clip percut,A
19296,,Place po breast cath for rad,A
19297,,Place breast cath for rad,A
19298,,Place breast rad tube/caths,A
19300,,Removal of breast tissue,A
19301,,Partical mastectomy,A
19302,,P-mastectomy w/ln removal,A
19303,,Mast simple complete,A
19304,,Mast subq,A
19305,,Mast radical,A
19306,,Mast rad urban type,A
19307,,Mast mod rad,A
19316,,Suspension of breast,A
19318,,Reduction of large breast,A
19324,,Enlarge breast,A
19325,,Enlarge breast with implant,A
19328,,Removal of breast implant,A
19330,,Removal of implant material,A
19340,,Immediate breast prosthesis,A
19342,,Delayed breast prosthesis,A
19350,,Breast reconstruction,A
19355,,Correct inverted nipple(s),A
19357,,Breast reconstruction,A
19361,,Breast reconstr w/lat flap,A
19364,,Breast reconstruction,A
19366,,Breast reconstruction,A
19367,,Breast reconstruction,A
19368,,Breast reconstruction,A
19369,,Breast reconstruction,A
19370,,Surgery of breast capsule,A
19371,,Removal of breast capsule,A
19380,,Revise breast reconstruction,A
19396,,Design custom breast implant,A
19499,,Breast surgery procedure,C
2000F,,Blood pressure measure,M
20005,,I&d abscess subfascial,A
2001F,,Weight record,I
2002F,,Clin sign vol ovrld assess,I
2004F,,Initial exam involved joints,I
2010F,,Vital signs recorded,M
20100,,Explore wound neck,A
20101,,Explore wound chest,A
20102,,Explore wound abdomen,A
20103,,Explore wound extremity,A
2014F,,Mental status assess,M
2015F,,Asthma impairment assessed,M
20150,,Excise epiphyseal bar,A
2016F,,Asthma risk assessed,M
2018F,,Hydration status assess,I
2019F,,Dilated macul exam done,M
2020F,,Dilated fundus eval done,I
20200,,Muscle biopsy,A
20205,,Deep muscle biopsy,A
20206,,Needle biopsy muscle,A
2021F,,Dilat macul+ exam done,M
2022F,,Dil retina exam interp rev,M
20220,,Bone biopsy trocar/needle,A
20225,,Bone biopsy trocar/needle,A
2024F,,7 field photo interp doc rev,M
20240,,Bone biopsy excisional,A
20245,,Bone biopsy excisional,A
20250,,Open bone biopsy,A
20251,,Open bone biopsy,A
2026F,,Eye image valid to dx rev,M
2027F,,Optic nerve head eval done,M
2028F,,Foot exam performed,M
2029F,,Complete phys skin exam done,I
2030F,,H2o stat docd normal,I
2031F,,H2o stat docd dehydrated,I
2035F,,Tymp memb motion examd,M
2040F,,Bk pn xm on init visit date,M
2044F,,Doc mntl tst b/4 bk trxmnt,I
2050F,,Wound char size etc docd,I
20500,,Injection of sinus tract,A
20501,,Inject sinus tract for x-ray,A
20520,,Removal of foreign body,A
20525,,Removal of foreign body,A
20526,,Ther injection carp tunnel,A
20527,,Inj dupuytren cord w/enzyme,A
20550,,Inj tendon sheath/ligament,A
20551,,Inj tendon origin/insertion,A
20552,,Inj trigger point 1/2 muscl,A
20553,,Inject trigger points =/> 3,A
20555,,Place ndl musc/tis for rt,A
2060F,,Pt talk eval hlthwkr re mdd,I
20600,,Drain/inject joint/bursa,A
20605,,Drain/inject joint/bursa,A
20610,,Drain/inject joint/bursa,A
20612,,Aspirate/inj ganglion cyst,A
20615,,Treatment of bone cyst,A
20650,,Insert and remove bone pin,A
20660,,Apply rem fixation device,A
20661,,Application of head brace,A
20662,,Application of pelvis brace,A
20663,,Application of thigh brace,A
20664,,Application of halo,A
20665,,Removal of fixation device,A
20670,,Removal of support implant,A
20680,,Removal of support implant,A
20690,,Apply bone fixation device,A
20692,,Apply bone fixation device,A
20693,,Adjust bone fixation device,A
20694,,Remove bone fixation device,A
20696,,Comp multiplane ext fixation,A
20697,,Comp ext fixate strut change,A
20802,,Replantation arm complete,A
20805,,Replant forearm complete,A
20808,,Replantation hand complete,A
20816,,Replantation digit complete,A
20822,,Replantation digit complete,A
20824,,Replantation thumb complete,A
20827,,Replantation thumb complete,A
20838,,Replantation foot complete,A
20900,,Removal of bone for graft,A
20902,,Removal of bone for graft,A
20910,,Remove cartilage for graft,A
20912,,Remove cartilage for graft,A
20920,,Removal of fascia for graft,A
20922,,Removal of fascia for graft,A
20924,,Removal of tendon for graft,A
20926,,Removal of tissue for graft,A
20930,,Sp bone algrft morsel add-on,B
20931,,Sp bone algrft struct add-on,A
20936,,Sp bone agrft local add-on,B
20937,,Sp bone agrft morsel add-on,A
20938,,Sp bone agrft struct add-on,A
20950,,Fluid pressure muscle,A
20955,,Fibula bone graft microvasc,A
20956,,Iliac bone graft microvasc,A
20957,,Mt bone graft microvasc,A
20962,,Other bone graft microvasc,A
20969,,Bone/skin graft microvasc,A
20970,,Bone/skin graft iliac crest,A
20972,,Bone/skin graft metatarsal,A
20973,,Bone/skin graft great toe,A
20974,,Electrical bone stimulation,A
20975,,Electrical bone stimulation,A
20979,,Us bone stimulation,A
20982,,Ablate bone tumor(s) perq,A
20985,,Cptr-asst dir ms px,A
20999,,Musculoskeletal surgery,C
21010,,Incision of jaw joint,A
21011,,Exc face les sc < 2 cm,A
21012,,Exc face les sbq 2 cm/>,A
21013,,Exc face tum deep < 2 cm,A
21014,,Exc face tum deep 2 cm/>,A
21015,,Resect face tum < 2 cm,A
21016,,Resect face tum 2 cm/>,A
21025,,Excision of bone lower jaw,A
21026,,Excision of facial bone(s),A
21029,,Contour of face bone lesion,A
21030,,Excise max/zygoma b9 tumor,A
21031,,Remove exostosis mandible,A
21032,,Remove exostosis maxilla,A
21034,,Excise max/zygoma mal tumor,A
21040,,Excise mandible lesion,A
21044,,Removal of jaw bone lesion,A
21045,,Extensive jaw surgery,A
21046,,Remove mandible cyst complex,A
21047,,Excise lwr jaw cyst w/repair,A
21048,,Remove maxilla cyst complex,A
21049,,Excis uppr jaw cyst w/repair,A
21050,,Removal of jaw joint,A
21060,,Remove jaw joint cartilage,A
21070,,Remove coronoid process,A
